id;current_week;calendar_connected;calendar_sync
1;2024-03-03T08:26:43;workforce Gorgeous;2024-03-03T04:29:05
2;2024-03-02T19:02:14;Industrial gold Movies;2024-03-03T06:37:22
3;2024-03-03T05:04:44;Bacon;2024-03-03T10:56:22
4;2024-03-03T06:15:49;HDD Ball;2024-03-03T06:45:04
5;2024-03-03T07:29:30;Intranet Ramp invoice;2024-03-02T20:48:42
6;2024-03-03T06:36:10;systemic Account;2024-03-03T06:12:11
7;2024-03-03T01:34:37;Dollar;2024-03-03T10:14:18
8;2024-03-02T18:11:45;revolutionize Jamaican;2024-03-03T00:28:37
9;2024-03-03T11:10:48;Borders;2024-03-02T20:56:33
10;2024-03-03T11:43:15;Som Fish olive;2024-03-03T06:36:47
