id;datetime;weather_code;max_temperature;min_temperature;precipitation;wind_speed;wind_direction
1;2024-03-03T06:40:38;Light web-enabled toolset;21448;11353;57268;62609;deposit
2;2024-03-02T21:12:45;Borders;62556;49690;15780;63317;upward-trending Bacon
3;2024-03-02T22:33:23;Music;66458;67428;77728;25131;network utilize Chair
4;2024-03-02T14:09:02;harness Peru;65197;67543;71867;42749;ROI value-added Jewelery
5;2024-03-02T18:39:26;quantifying asymmetric;28866;54579;48404;25231;Personal
6;2024-03-02T13:34:49;Berkshire;41086;8231;44718;6444;Customer Towels
7;2024-03-03T00:10:55;Organic;72334;91512;61104;55038;Cotton Beauty Alaska
8;2024-03-03T05:46:25;Loan programming;58909;73493;37578;88443;Towels Dynamic integrate
9;2024-03-02T16:23:51;HDD Regional parsing;29838;19875;82223;946;Movies
10;2024-03-02T17:16:04;Ergonomic implement;51315;96033;48540;75265;transmitting
